generated_index,metric,rank,real_slice_index,score
0,PSNR,1,11167,23.2826
0,PSNR,2,11161,23.1913
0,PSNR,3,11176,23.1766
0,SSIM,1,11176,0.6755
0,SSIM,2,11170,0.6738
0,SSIM,3,11164,0.6601
1,PSNR,1,18934,26.1342
1,PSNR,2,18928,26.1046
1,PSNR,3,18933,25.9239
1,SSIM,1,18928,0.7623
1,SSIM,2,18934,0.7611
1,SSIM,3,18922,0.7576
2,PSNR,1,15519,22.6328
2,PSNR,2,15513,22.5643
2,PSNR,3,15518,22.4585
2,SSIM,1,14437,0.6735
2,SSIM,2,14431,0.6732
2,SSIM,3,14425,0.6717
3,PSNR,1,13397,23.2286
3,PSNR,2,13401,23.0933
3,PSNR,3,13395,23.0074
3,SSIM,1,13576,0.6822
3,SSIM,2,13396,0.6772
3,SSIM,3,13402,0.6760
4,PSNR,1,5164,24.3222
4,PSNR,2,5158,24.2117
4,PSNR,3,5165,24.0313
4,SSIM,1,5181,0.6783
4,SSIM,2,5183,0.6771
4,SSIM,3,5182,0.6769
5,PSNR,1,3536,21.6752
5,PSNR,2,3543,21.4768
5,PSNR,3,3537,21.4447
5,SSIM,1,3544,0.6573
5,SSIM,2,3538,0.6566
5,SSIM,3,3550,0.6353
6,PSNR,1,15773,23.0234
6,PSNR,2,15771,22.7866
6,PSNR,3,15783,22.6703
6,SSIM,1,15772,0.6839
6,SSIM,2,15778,0.6829
6,SSIM,3,15766,0.6762
7,PSNR,1,15788,23.8378
7,PSNR,2,15781,23.5009
7,PSNR,3,15791,23.4504
7,SSIM,1,15796,0.7283
7,SSIM,2,15790,0.7282
7,SSIM,3,15802,0.7087
8,PSNR,1,19211,25.4088
8,PSNR,2,19205,25.0635
8,PSNR,3,19217,24.8243
8,SSIM,1,19211,0.6526
8,SSIM,2,19205,0.6489
8,SSIM,3,19209,0.6413
9,PSNR,1,1348,21.6213
9,PSNR,2,1060,21.5835
9,PSNR,3,1349,21.5607
9,SSIM,1,1201,0.7740
9,SSIM,2,1195,0.7679
9,SSIM,3,1189,0.7564
10,PSNR,1,2057,23.3522
10,PSNR,2,2034,23.0221
10,PSNR,3,2035,22.8652
10,SSIM,1,19876,0.7183
10,SSIM,2,19858,0.7178
10,SSIM,3,19864,0.7175
11,PSNR,1,1853,24.6504
11,PSNR,2,1859,24.4055
11,PSNR,3,1865,24.2819
11,SSIM,1,1851,0.6693
11,SSIM,2,1853,0.6677
11,SSIM,3,1865,0.6641
12,PSNR,1,18126,21.0049
12,PSNR,2,18120,20.9574
12,PSNR,3,3162,20.8071
12,SSIM,1,14569,0.6075
12,SSIM,2,14575,0.6073
12,SSIM,3,14563,0.6038
13,PSNR,1,10195,22.3981
13,PSNR,2,10203,21.8087
13,PSNR,3,15073,21.7840
13,SSIM,1,10213,0.6649
