generated_index,metric,rank,real_slice_index,score
0,PSNR,1,3726,21.7655
0,PSNR,2,3728,21.6140
0,PSNR,3,3732,21.5001
0,SSIM,1,11738,0.6895
0,SSIM,2,11739,0.6895
0,SSIM,3,11736,0.6828
1,PSNR,1,18907,21.5190
1,PSNR,2,18913,21.4317
1,PSNR,3,18901,21.2711
1,SSIM,1,10009,0.6098
1,SSIM,2,10003,0.6087
1,SSIM,3,10015,0.6055
2,PSNR,1,21001,19.9269
2,PSNR,2,20995,19.7912
2,PSNR,3,21007,19.4825
2,SSIM,1,11775,0.6675
2,SSIM,2,11774,0.6650
2,SSIM,3,11772,0.6546
3,PSNR,1,18697,22.1371
3,PSNR,2,7753,21.4570
3,PSNR,3,7771,21.4180
3,SSIM,1,18697,0.8033
3,SSIM,2,18703,0.7792
3,SSIM,3,18698,0.7653
4,PSNR,1,978,19.1557
4,PSNR,2,984,19.0918
4,PSNR,3,7690,18.9767
4,SSIM,1,19914,0.7196
4,SSIM,2,19926,0.7187
4,SSIM,3,7687,0.7187
5,PSNR,1,1256,27.8126
5,PSNR,2,974,27.7016
5,PSNR,3,1112,27.6664
5,SSIM,1,1254,0.8356
5,SSIM,2,1112,0.8304
5,SSIM,3,1256,0.8291
6,PSNR,1,1077,27.9058
6,PSNR,2,1078,27.8809
6,PSNR,3,1076,27.7687
6,SSIM,1,1365,0.8642
6,SSIM,2,1364,0.8562
6,SSIM,3,1366,0.8536
7,PSNR,1,1777,28.5169
7,PSNR,2,1771,28.1566
7,PSNR,3,1783,28.1389
7,SSIM,1,1777,0.7678
7,SSIM,2,1771,0.7638
7,SSIM,3,1778,0.7590
8,PSNR,1,9277,22.8616
8,PSNR,2,9283,22.4721
8,PSNR,3,2115,22.4193
8,SSIM,1,5505,0.6751
8,SSIM,2,9277,0.6750
8,SSIM,3,5517,0.6744
9,PSNR,1,2323,23.0703
9,PSNR,2,2329,22.4870
9,PSNR,3,2317,22.4406
9,SSIM,1,21109,0.6861
9,SSIM,2,21283,0.6808
9,SSIM,3,20701,0.6781
10,PSNR,1,2509,29.0354
10,PSNR,2,2515,28.1616
10,PSNR,3,2503,27.1984
10,SSIM,1,21013,0.7690
10,SSIM,2,21019,0.7652
10,SSIM,3,21025,0.7433
11,PSNR,1,13267,21.7695
11,PSNR,2,18907,21.4828
11,PSNR,3,18901,21.4808
11,SSIM,1,13267,0.6899
11,SSIM,2,13261,0.6867
11,SSIM,3,15223,0.6794
12,PSNR,1,13267,21.0054
12,PSNR,2,18870,20.7481
12,PSNR,3,18876,20.6627
12,SSIM,1,13267,0.6354
12,SSIM,2,21031,0.6335
12,SSIM,3,15205,0.6333
13,PSNR,1,3034,22.2243
